Node Number	X Location (m)	Y Location (m)	Z Location (m)	
207	0.7947	0.74897	0.	
208	1.7788	0.68265	0.	
209	0.44256	0.95641	0.	
210	0.50635	0.92817	0.	
211	0.34717	1.6947	0.	
212	1.4099	0.63879	0.	
213	0.40674	2.1335	0.	
214	0.14672	1.4545	0.	
215	1.2975	2.6626	0.	
216	0.86824	1.0914	0.	
217	1.0499	0.67514	0.	
218	0.72273	1.2925	0.	
219	1.5695	1.3583	0.	
220	1.2559	2.0319	0.	
221	0.34376	1.2448	0.	
222	1.2043	0.45795	0.	
223	8.0273	1.3333	0.	
224	1.4063	0.76405	0.	
225	0.86443	1.2399	0.	
226	6.7012	1.4856	0.	
227	0.31898	1.4942	0.	
228	1.5245	1.5684	0.	
229	0.70726	0.81597	0.	
230	0.37379	0.98071	0.	
231	1.4143	0.51788	0.	
232	0.50018	1.5764	0.	
233	0.67164	1.4637	0.	
234	0.60512	2.0052	0.	
235	0.38139	2.6478	0.	
236	1.7165	1.7505	0.	
237	1.9841	1.5935	0.	
