Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
147	7,2881	6,6736	0,	-48096
148	0,8527	1,4263	0,	-2,2014e+006
149	2,291	4,7625	0,	-2,3541e+005
150	2,6205	5,8547	0,	-90429
151	2,6207	6,5731	0,	6112,6
152	3,8927	7,9766	0,	82969
153	4,6042	7,7931	0,	30886
154	5,3472	7,7445	0,	4712,5
155	6,0541	7,8366	0,	-1057,3
156	8,1048	6,4246	0,	-33004
157	7,8984	5,874	0,	-48433
158	7,8204	4,3999	0,	-53157
159	2,1754	3,7655	0,	-5,2631e+005
160	2,1846	4,2224	0,	-3,5456e+005
161	1,9733	3,3173	0,	-6,8293e+005
162	1,0378	2,1715	0,	-9,9279e+005
163	1,4405	2,5581	0,	-9,8945e+005
164	6,4183	2,6299	0,	1,7592
165	5,6949	2,5836	0,	-22738
166	5,0616	2,4901	0,	-57107
167	4,4628	2,2573	0,	-64730
168	3,8972	1,975	0,	-41992
169	3,4539	1,7037	0,	41949
170	3,0296	1,4275	0,	2,2454e+005
171	2,6014	1,181	0,	5,3006e+005
172	2,2682	1,0045	0,	9,2733e+005
173	2,0131	0,86198	0,	1,4575e+006
174	1,6583	1,0793	0,	-1,0627e+005
175	1,8068	1,0998	0,	47571
176	2,0907	1,4891	0,	-8,0602e+005
177	1,3427	0,91605	0,	1,0099e+006
178	1,304	1,0171	0,	2,0131e+005
179	0,85765	1,3419	0,	-2,0856e+006
180	0,79347	1,3412	0,	-2,3003e+006
181	0,75827	1,3998	0,	-2,4424e+006
182	0,8221	1,5212	0,	-2,108e+006
183	1,6861	2,2063	0,	-1,4921e+006
184	1,4283	2,1676	0,	-1,4662e+006
185	0,90785	1,7523	0,	-1,6327e+006
186	8,1849	6,935	0,	-21789
187	7,8766	3,5724	0,	-29831
188	7,1383	2,7082	0,	5465,2
189	1,4475	0,80122	0,	1,7167e+006
190	3,4888	8,2677	0,	1,3911e+005
191	0,95816	1,963	0,	-1,2343e+006
192	2,5914	7,2945	0,	91688
193	1,638	0,62991	0,	2,7497e+006
194	7,4608	8,1163	0,	1233,7
195	0,70099	1,4613	0,	-2,4484e+006
196	0,73268	1,6136	0,	-1,8081e+006
197	8,2067	7,5818	0,	-9314,6
198	7,9178	2,6462	0,	11645
199	1,9038	1,9343	0,	-1,5255e+006
200	1,4821	0,68692	0,	2,4457e+006
201	3,0146	8,0834	0,	1,5054e+005
202	0,97042	1,3125	0,	-1,7858e+006
203	1,1883	1,8388	0,	-1,8304e+006
204	0,99131	1,4194	0,	-2,1132e+006
205	2,4199	8,0555	0,	1,8827e+005
206	1,5263	0,58384	0,	2,9833e+006
207	1,8656	1,7066	0,	-1,5121e+006
208	1,2484	1,1183	0,	-5,9201e+005
209	8,4606	2,1374	0,	25908
210	8,175	8,2105	0,	1226,8
211	0,62833	1,522	0,	-2,2972e+006
212	1,4238	1,8885	0,	-1,8582e+006
213	0,98197	1,5606	0,	-2,1034e+006
214	1,716	8,1357	0,	2,4182e+005
215	0,52446	1,562	0,	-2,1616e+006
216	0,55735	1,4139	0,	-3,4065e+006
217	0,63267	1,3746	0,	-3,2344e+006
218	0,69389	1,3286	0,	-2,9417e+006
219	0,76221	1,2873	0,	-2,3423e+006
220	0,84647	1,248	0,	-1,5843e+006
221	0,93126	1,2158	0,	-1,0534e+006
222	1,0139	1,168	0,	-5,5184e+005
223	1,0897	1,1087	0,	-31114
224	1,1557	1,038	0,	5,6382e+005
225	1,2094	0,95861	0,	1,224e+006
226	1,2464	0,87222	0,	1,9202e+006
227	1,2912	0,79153	0,	2,2909e+006
228	1,3421	0,71802	0,	2,4744e+006
229	1,5557	0,47987	0,	3,4116e+006
230	0,60271	1,6835	0,	-1,4346e+006
231	0,66864	1,8266	0,	-9,9177e+005
232	1,8665	1,4791	0,	-1,1928e+006
233	1,0766	1,2689	0,	-1,5398e+006
234	1,1697	1,2007	0,	-1,1491e+006
235	2,0151	0,64439	0,	2,4407e+006
236	1,8493	0,5857	0,	2,8631e+006
237	0,72824	2,0215	0,	-6,3311e+005
238	0,88731	2,3417	0,	-4,7865e+005
239	2,719	0,92011	0,	1,1528e+006
240	2,3188	0,7625	0,	1,7533e+006
241	1,0317	2,6286	0,	-4,3514e+005
242	1,2344	3,0283	0,	-3,8755e+005
243	3,5472	1,2342	0,	5,385e+005
244	3,1025	1,0613	0,	8,0696e+005
245	1,3899	3,4488	0,	-2,9993e+005
246	1,4801	3,8654	0,	-2,0804e+005
247	4,0583	1,4214	0,	3,5743e+005
248	5,7953	1,8016	0,	1,4328e+005
249	5,1742	1,7225	0,	1,8298e+005
250	6,4491	1,8483	0,	1,1111e+005
251	8,3789	1,6132	0,	43742
252	7,7641	1,743	0,	63855
253	8,949	2,2845	0,	11947
254	8,6232	4,3271	0,	-24184
255	8,661	3,6038	0,	-13376
256	8,6302	5,025	0,	-27551
257	8,8075	6,3021	0,	-17336
258	8,8756	7,5792	0,	-4511,9
259	6,7813	8,741	0,	27971
260	4,7567	8,6362	0,	99320
261	5,4135	8,6129	0,	66098
262	4,1404	8,7671	0,	1,4826e+005
263	2,9039	8,8327	0,	2,4501e+005
264	1,7587	7,456	0,	1,7161e+005
265	1,8074	6,1115	0,	45909
266	1,5445	4,2927	0,	-1,3029e+005
267	1,6362	4,9106	0,	-54767
268	1,6399	8,8486	0,	3,3257e+005
269	8,8678	8,8976	0,	4060,5
270	9,0193	1,5736	0,	21400
271	0,47046	1,4402	0,	-3,575e+006
272	1,4341	0,45215	0,	3,1887e+006
273	0,94298	5,0534	0,	1,0645e+005
274	0,98203	5,6724	0,	1,2018e+005
275	1,0292	6,9248	0,	1,7616e+005
276	1,0105	7,5746	0,	2,2294e+005
277	0,98615	8,235	0,	2,8577e+005
278	0,95794	8,9027	0,	3,6968e+005
279	0,93221	9,5768	0,	4,844e+005
280	1,593	9,5584	0,	4,4699e+005
281	2,2466	9,5473	0,	3,9561e+005
282	2,8956	9,5485	0,	3,3665e+005
283	3,5522	9,5487	0,	2,7206e+005
284	4,2098	9,5097	0,	2,0632e+005
285	4,8527	9,4593	0,	1,4958e+005
286	5,4987	9,4445	0,	1,0389e+005
287	6,1635	9,4753	0,	67346
288	6,8373	9,4958	0,	39770
289	7,516	9,526	0,	20799
290	8,1993	9,5495	0,	9200,5
291	8,8799	9,5697	0,	3153,6
292	9,565	9,5738	0,	544,27
293	9,5556	8,9075	0,	1170,3
294	9,5554	8,2469	0,	385,51
295	9,5511	7,5822	0,	-1108,9
296	9,5407	6,9227	0,	-2758,3
297	9,5203	6,2626	0,	-4571,1
298	9,4848	5,6066	0,	-6121,5
299	9,4559	4,9518	0,	-6757,4
300	9,4422	4,2857	0,	-5895,5
301	9,4604	3,6168	0,	-3391,
302	9,5906	2,2688	0,	3202,1
303	9,62	1,5898	0,	5581,2
304	0,88638	4,4504	0,	1,0466e+005
305	9,6213	0,91156	0,	7413,7
306	8,9894	0,91708	0,	29566
307	8,3543	0,94263	0,	61360
308	7,725	0,9887	0,	1,0063e+005
309	7,0828	1,0289	0,	1,4892e+005
310	6,4498	1,0388	0,	2,0901e+005
311	5,8153	1,0178	0,	2,8757e+005
312	5,2043	0,97627	0,	3,8986e+005
313	4,6092	0,90981	0,	5,3188e+005
314	0,84173	3,9393	0,	1,0492e+005
315	4,0568	0,82764	0,	7,2535e+005
316	0,80306	3,4728	0,	99678
317	3,5428	0,74187	0,	9,9527e+005
318	0,74263	3,0439	0,	93558
319	3,0951	0,66888	0,	1,3378e+006
320	0,65013	2,6515	0,	86233
321	2,6972	0,59539	0,	1,7903e+006
322	0,5812	2,3517	0,	29134
323	2,352	0,52642	0,	2,3496e+006
324	0,51847	2,0886	0,	-1,4447e+005
325	2,0213	0,44904	0,	3,0737e+006
326	1,129	1,3727	0,	-2,0089e+006
327	1,6361	1,2721	0,	-1,0688e+006
328	0,4516	1,842	0,	-6,1841e+005
329	0,4281	1,698	0,	-1,2538e+006
330	1,7007	0,39319	0,	3,6896e+006
331	0,3951	1,5665	0,	-2,273e+006
332	1,5602	0,36943	0,	3,6914e+006
333	0,3674	1,4452	0,	-3,944e+006
334	1,4385	0,35483	0,	3,2548e+006
335	1,3253	0,3413	0,	2,021e+006
336	1,3149	0,42549	0,	2,223e+006
337	1,2976	0,50994	0,	2,5107e+006
338	1,2718	0,5914	0,	2,833e+006
339	1,2418	0,66871	0,	3,1448e+006
340	1,2076	0,74322	0,	3,3702e+006
341	1,1665	0,81797	0,	3,4279e+006
342	1,1196	0,88815	0,	3,2872e+006
343	1,0673	0,95561	0,	2,8848e+006
344	1,0086	1,0178	0,	2,2751e+006
345	0,94411	1,0738	0,	1,4637e+006
346	0,87575	1,1243	0,	4,2111e+005
347	0,80638	1,1683	0,	-7,7729e+005
348	0,73079	1,2095	0,	-2,1748e+006
349	0,65833	1,2444	0,	-3,4695e+006
350	0,5883	1,2725	0,	-4,5588e+006
351	0,51334	1,2972	0,	-5,5198e+006
352	0,4313	1,3165	0,	-6,3122e+006
353	0,34503	1,3281	0,	-6,8876e+006
354	1,1649	1,6929	0,	-2,0607e+006
355	1,3475	1,192	0,	-1,145e+006
356	1,6409	1,6833	0,	-1,8326e+006
357	1,1709	1,538	0,	-2,1971e+006
358	1,4024	1,665	0,	-2,0759e+006
359	1,6144	1,4546	0,	-1,6388e+006
360	1,4793	1,2581	0,	-1,3279e+006
361	1,3917	1,4574	0,	-2,0209e+006
362	2,2872	8,8179	0,	2,8819e+005
363	1,4061	1,0503	0,	-1,7557e+005
364	1,412	0,54647	0,	2,9889e+006
365	1,2531	1,3058	0,	-1,7517e+006
366	2,511	5,2352	0,	-1,8007e+005
367	7,4782	8,8135	0,	16475
368	8,8687	8,2347	0,	757,09
369	4,3978	6,0829	0,	-1,5611e+005
370	1,8693	1,272	0,	-5,8192e+005
