Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
146	1,0491	0,29638	0,	1,6158e-004
147	1,0232	0,39066	0,	1,5581e-004
148	0,52651	1,1058	0,	5,9382e-005
149	5,0658	2,25	0,	2,9551e-004
150	2,9447	2,4742	0,	1,7831e-004
151	3,0581	0,54734	0,	2,1224e-004
152	1,2123	1,591	0,	8,9026e-005
153	3,6297	2,3621	0,	2,1862e-004
154	1,0644	0,19665	0,	1,6588e-004
155	2,2398	0,36514	0,	1,8476e-004
156	1,3275	0,41734	0,	1,5948e-004
157	2,3362	0,72973	0,	1,8097e-004
158	0,96292	0,63033	0,	1,3469e-004
159	0,10227	1,2086	0,	1,1127e-005
160	0,16567	1,6216	0,	1,2027e-005
161	4,3221	0,75	0,	2,6575e-004
162	1,4844	0,16698	0,	1,7082e-004
163	0,344	1,0375	0,	4,7523e-005
164	0,97908	0,74004	0,	1,2452e-004
165	2,3219	2,4742	0,	1,4066e-004
166	0,6145	1,1957	0,	6,0743e-005
167	2,2942	1,598	0,	1,566e-004
168	0,98989	0,8726	0,	1,1299e-004
169	1,1557	0,66215	0,	1,3837e-004
170	3,1827	1,1714	0,	2,0989e-004
171	0,76533	1,0196	0,	8,5703e-005
172	1,0783	9,6369e-002	0,	1,6845e-004
173	2,7385	1,3847	0,	1,8482e-004
174	1,3022	0,11656	0,	1,6991e-004
175	0,29931	1,1408	0,	3,5016e-005
176	0,26447	2,3356	0,	1,5291e-005
177	0,86371	2,6083	0,	4,7915e-005
178	1,7057	1,194	0,	1,3588e-004
179	0,17292	1,0568	0,	2,4837e-005
180	1,16	0,55251	0,	1,4691e-004
181	0,48733	1,2567	0,	4,6446e-005
182	1,5597	0,57115	0,	1,5798e-004
183	0,92103	2,1338	0,	5,7537e-005
184	0,52062	1,003	0,	6,8339e-005
185	0,68452	0,93683	0,	8,817e-005
186	1,3467	1,3745	0,	1,0614e-004
187	0,88689	0,59673	0,	1,3639e-004
188	2,059	0,84154	0,	1,6653e-004
189	1,0952	0,47592	0,	1,5099e-004
190	0,53631	1,775	0,	3,6634e-005
191	6,3664	0,75	0,	3,6328e-004
192	2,3649	1,1109	0,	1,7263e-004
193	1,2322	0,3403	0,	1,6164e-004
194	1,5449	0,94819	0,	1,3827e-004
195	6,4028	2,25	0,	3,6377e-004
196	0,21853	1,2331	0,	2,2558e-005
197	0,18115	1,8196	0,	1,2047e-005
198	0,485	1,4107	0,	4,0297e-005
199	1,232	0,22448	0,	1,6644e-004
200	0,11701	1,3218	0,	1,0871e-005
201	1,0036	1,0267	0,	1,017e-004
202	9,1457	2,4679	0,	5,015e-004
203	9,2407	0,5625	0,	5,0602e-004
204	0,18115	2,071	0,	1,1137e-005
205	1,577	2,0713	0,	1,0165e-004
206	0,10063	1,0468	0,	1,5148e-005
207	0,7947	0,74897	0,	1,1631e-004
208	1,7788	0,68265	0,	1,6091e-004
209	0,44256	0,95641	0,	6,6734e-005
210	0,50635	0,92817	0,	7,6169e-005
211	0,34717	1,6947	0,	2,4378e-005
212	1,4099	0,63879	0,	1,4937e-004
213	0,40674	2,1335	0,	2,4843e-005
214	0,14672	1,4545	0,	1,1944e-005
215	1,2975	2,6626	0,	7,3126e-005
216	0,86824	1,0914	0,	8,7541e-005
217	1,0499	0,67514	0,	1,3336e-004
218	0,72273	1,2925	0,	6,4179e-005
219	1,5695	1,3583	0,	1,2132e-004
220	1,2559	2,0319	0,	8,1387e-005
221	0,34376	1,2448	0,	3,4209e-005
222	1,2043	0,45795	0,	1,5446e-004
223	8,0273	1,3333	0,	4,4541e-004
224	1,4063	0,76405	0,	1,4175e-004
225	0,86443	1,2399	0,	7,7995e-005
226	6,7012	1,4856	0,	3,792e-004
227	0,31898	1,4942	0,	2,5052e-005
228	1,5245	1,5684	0,	1,1103e-004
229	0,70726	0,81597	0,	1,0425e-004
230	0,37379	0,98071	0,	5,6701e-005
231	1,4143	0,51788	0,	1,5626e-004
232	0,50018	1,5764	0,	3,732e-005
233	0,67164	1,4637	0,	5,3271e-005
234	0,60512	2,0052	0,	3,8563e-005
235	0,38139	2,6478	0,	2,0357e-005
236	1,7165	1,7505	0,	1,181e-004
237	1,9841	1,5935	0,	1,3877e-004
