Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
143	3,4895	7,2407	0,	1,0027e+007
144	1,8028	0,71446	0,	1,4407e+007
145	1,6015	0,72031	0,	1,5799e+007
146	6,7459	7,9935	0,	1,0056e+007
147	7,2881	6,6736	0,	1,0096e+007
148	0,8527	1,4263	0,	5,3555e+006
149	2,291	4,7625	0,	9,8492e+006
150	2,6205	5,8547	0,	9,926e+006
151	2,6207	6,5731	0,	9,9252e+006
152	3,8927	7,9766	0,	1,0033e+007
153	4,6042	7,7931	0,	1,0063e+007
154	5,3472	7,7445	0,	1,0077e+007
155	6,0541	7,8366	0,	1,0071e+007
156	8,1048	6,4246	0,	1,0065e+007
157	7,8984	5,874	0,	1,0086e+007
158	7,8204	4,3999	0,	1,0109e+007
159	2,1754	3,7655	0,	9,9785e+006
160	2,1846	4,2224	0,	9,8576e+006
161	1,9733	3,3173	0,	9,9493e+006
162	1,0378	2,1715	0,	7,7211e+006
163	1,4405	2,5581	0,	9,354e+006
164	6,4183	2,6299	0,	1,027e+007
165	5,6949	2,5836	0,	1,0392e+007
166	5,0616	2,4901	0,	1,0523e+007
167	4,4628	2,2573	0,	1,0679e+007
168	3,8972	1,975	0,	1,0882e+007
169	3,4539	1,7037	0,	1,1102e+007
170	3,0296	1,4275	0,	1,1398e+007
171	2,6014	1,181	0,	1,1875e+007
172	2,2682	1,0045	0,	1,2507e+007
173	2,0131	0,86198	0,	1,3283e+007
174	1,6583	1,0793	0,	1,3975e+007
175	1,8068	1,0998	0,	1,3602e+007
176	2,0907	1,4891	0,	1,2467e+007
177	1,3427	0,91605	0,	1,4886e+007
178	1,304	1,0171	0,	1,3645e+007
179	0,85765	1,3419	0,	5,163e+006
180	0,79347	1,3412	0,	3,9748e+006
181	0,75827	1,3998	0,	3,7005e+006
182	0,8221	1,5212	0,	5,1308e+006
183	1,6861	2,2063	0,	1,0536e+007
184	1,4283	2,1676	0,	9,7118e+006
185	0,90785	1,7523	0,	6,4861e+006
186	8,1849	6,935	0,	1,0051e+007
187	7,8766	3,5724	0,	1,0095e+007
188	7,1383	2,7082	0,	1,0168e+007
189	1,4475	0,80122	0,	1,6117e+007
190	3,4888	8,2677	0,	1,0009e+007
191	0,95816	1,963	0,	7,0374e+006
192	2,5914	7,2945	0,	9,9372e+006
193	1,638	0,62991	0,	1,5934e+007
194	7,4608	8,1163	0,	1,0039e+007
195	0,70099	1,4613	0,	3,1565e+006
196	0,73268	1,6136	0,	4,2203e+006
197	8,2067	7,5818	0,	1,0037e+007
198	7,9178	2,6462	0,	1,0066e+007
199	1,9038	1,9343	0,	1,1561e+007
200	1,4821	0,68692	0,	1,7081e+007
201	3,0146	8,0834	0,	9,9842e+006
202	0,97042	1,3125	0,	7,2116e+006
203	1,1883	1,8388	0,	8,9657e+006
204	0,99131	1,4194	0,	7,5749e+006
205	2,4199	8,0555	0,	9,9484e+006
206	1,5263	0,58384	0,	1,7504e+007
207	1,8656	1,7066	0,	1,2046e+007
208	1,2484	1,1183	0,	1,2322e+007
209	8,4606	2,1374	0,	9,9826e+006
210	8,175	8,2105	0,	1,0025e+007
211	0,62833	1,522	0,	2,538e+006
212	1,4238	1,8885	0,	1,0316e+007
213	0,98197	1,5606	0,	7,3546e+006
214	1,716	8,1357	0,	9,9136e+006
215	0,52446	1,562	0,	1,6898e+006
216	0,55735	1,4139	0,	1,0813e+006
217	0,63267	1,3746	0,	1,6918e+006
218	0,69389	1,3286	0,	2,2043e+006
219	0,76221	1,2873	0,	2,9862e+006
220	0,84647	1,248	0,	4,3878e+006
221	0,93126	1,2158	0,	6,1655e+006
222	1,0139	1,168	0,	7,9991e+006
223	1,0897	1,1087	0,	9,7966e+006
224	1,1557	1,038	0,	1,1509e+007
225	1,2094	0,95861	0,	1,314e+007
226	1,2464	0,87222	0,	1,4769e+007
227	1,2912	0,79153	0,	1,6464e+007
228	1,3421	0,71802	0,	1,7724e+007
229	1,5557	0,47987	0,	1,7768e+007
230	0,60271	1,6835	0,	3,0839e+006
231	0,66864	1,8266	0,	4,2822e+006
232	1,8665	1,4791	0,	1,2629e+007
233	1,0766	1,2689	0,	9,1478e+006
234	1,1697	1,2007	0,	1,0844e+007
235	2,0151	0,64439	0,	1,3355e+007
236	1,8493	0,5857	0,	1,432e+007
237	0,72824	2,0215	0,	5,4496e+006
238	0,88731	2,3417	0,	7,0151e+006
239	2,719	0,92011	0,	1,1618e+007
240	2,3188	0,7625	0,	1,2313e+007
241	1,0317	2,6286	0,	7,8907e+006
242	1,2344	3,0283	0,	8,6695e+006
243	3,5472	1,2342	0,	1,0957e+007
244	3,1025	1,0613	0,	1,124e+007
245	1,3899	3,4488	0,	9,0438e+006
246	1,4801	3,8654	0,	9,2272e+006
247	4,0583	1,4214	0,	1,0741e+007
248	5,7953	1,8016	0,	1,0329e+007
249	5,1742	1,7225	0,	1,0444e+007
250	6,4491	1,8483	0,	1,0228e+007
251	8,3789	1,6132	0,	9,9763e+006
252	7,7641	1,743	0,	1,0055e+007
253	8,949	2,2845	0,	9,9263e+006
254	8,6232	4,3271	0,	1,003e+007
255	8,661	3,6038	0,	1,0008e+007
256	8,6302	5,025	0,	1,0039e+007
257	8,8075	6,3021	0,	1,0033e+007
258	8,8756	7,5792	0,	1,0021e+007
259	6,7813	8,741	0,	1,0027e+007
260	4,7567	8,6362	0,	1,0031e+007
261	5,4135	8,6129	0,	1,0036e+007
262	4,1404	8,7671	0,	1,0019e+007
263	2,9039	8,8327	0,	9,9897e+006
264	1,7587	7,456	0,	9,8606e+006
265	1,8074	6,1115	0,	9,7334e+006
266	1,5445	4,2927	0,	9,3621e+006
267	1,6362	4,9106	0,	9,5211e+006
268	1,6399	8,8486	0,	9,9576e+006
269	8,8678	8,8976	0,	1,0007e+007
270	9,0193	1,5736	0,	9,8916e+006
271	0,47046	1,4402	0,	4,7835e+005
272	1,4341	0,45215	0,	2,0441e+007
273	0,94298	5,0534	0,	9,266e+006
274	0,98203	5,6724	0,	9,4672e+006
275	1,0292	6,9248	0,	9,7305e+006
276	1,0105	7,5746	0,	9,8213e+006
277	0,98615	8,235	0,	9,8931e+006
278	0,95794	8,9027	0,	9,9491e+006
279	0,93221	9,5768	0,	9,9874e+006
280	1,593	9,5584	0,	9,9895e+006
281	2,2466	9,5473	0,	9,9932e+006
282	2,8956	9,5485	0,	9,9976e+006
283	3,5522	9,5487	0,	1,0002e+007
284	4,2098	9,5097	0,	1,0005e+007
285	4,8527	9,4593	0,	1,0008e+007
286	5,4987	9,4445	0,	1,0009e+007
287	6,1635	9,4753	0,	1,0008e+007
288	6,8373	9,4958	0,	1,0007e+007
289	7,516	9,526	0,	1,0005e+007
290	8,1993	9,5495	0,	1,0003e+007
291	8,8799	9,5697	0,	1,0002e+007
292	9,565	9,5738	0,	1,e+007
293	9,5556	8,9075	0,	1,0003e+007
294	9,5554	8,2469	0,	1,0006e+007
295	9,5511	7,5822	0,	1,0008e+007
296	9,5407	6,9227	0,	1,0009e+007
297	9,5203	6,2626	0,	1,0006e+007
298	9,4848	5,6066	0,	9,9973e+006
299	9,4559	4,9518	0,	9,9824e+006
300	9,4422	4,2857	0,	9,9596e+006
301	9,4604	3,6168	0,	9,928e+006
302	9,5906	2,2688	0,	9,8408e+006
303	9,62	1,5898	0,	9,8033e+006
304	0,88638	4,4504	0,	8,9793e+006
305	9,6213	0,91156	0,	9,7812e+006
306	8,9894	0,91708	0,	9,8796e+006
307	8,3543	0,94263	0,	9,9637e+006
308	7,725	0,9887	0,	1,0039e+007
309	7,0828	1,0289	0,	1,0113e+007
310	6,4498	1,0388	0,	1,0188e+007
311	5,8153	1,0178	0,	1,0271e+007
312	5,2043	0,97627	0,	1,0364e+007
313	4,6092	0,90981	0,	1,0478e+007
314	0,84173	3,9393	0,	8,6419e+006
315	4,0568	0,82764	0,	1,0624e+007
316	0,80306	3,4728	0,	8,212e+006
317	3,5428	0,74187	0,	1,0823e+007
318	0,74263	3,0439	0,	7,617e+006
319	3,0951	0,66888	0,	1,1102e+007
320	0,65013	2,6515	0,	6,7275e+006
321	2,6972	0,59539	0,	1,1517e+007
322	0,5812	2,3517	0,	5,7158e+006
323	2,352	0,52642	0,	1,2141e+007
324	0,51847	2,0886	0,	4,5093e+006
325	2,0213	0,44904	0,	1,3343e+007
326	1,129	1,3727	0,	9,642e+006
327	1,6361	1,2721	0,	1,3234e+007
328	0,4516	1,842	0,	2,9183e+006
329	0,4281	1,698	0,	1,8671e+006
330	1,7007	0,39319	0,	1,5961e+007
331	0,3951	1,5665	0,	8,1913e+005
332	1,5602	0,36943	0,	1,817e+007
333	0,3674	1,4452	0,	-60110
334	1,4385	0,35483	0,	2,1169e+007
335	1,3253	0,3413	0,	2,5634e+007
336	1,3149	0,42549	0,	2,4731e+007
337	1,2976	0,50994	0,	2,3319e+007
338	1,2718	0,5914	0,	2,153e+007
339	1,2418	0,66871	0,	1,9434e+007
340	1,2076	0,74322	0,	1,7106e+007
341	1,1665	0,81797	0,	1,4608e+007
342	1,1196	0,88815	0,	1,2147e+007
343	1,0673	0,95561	0,	9,7941e+006
344	1,0086	1,0178	0,	7,5954e+006
345	0,94411	1,0738	0,	5,5872e+006
346	0,87575	1,1243	0,	3,8724e+006
347	0,80638	1,1683	0,	2,5213e+006
348	0,73079	1,2095	0,	1,4581e+006
349	0,65833	1,2444	0,	7,7313e+005
350	0,5883	1,2725	0,	2,9978e+005
