Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)007
144	1.7573	1.4574	0.	1.1566e+007
145	0.93974	0.54509	0.	2.4144e+006
146	1.0491	0.29638	0.	1.1736e+005
147	1.0232	0.39066	0.	7.9141e+005
148	0.52651	1.1058	0.	1.8208e+007
149	5.0658	2.25	0.	1.0364e+007
150	2.9447	2.4742	0.	1.1768e+007
151	3.0581	0.54734	0.	8.1979e+006
152	1.2123	1.591	0.	1.3518e+007
153	3.6297	2.3621	0.	1.1118e+007
154	1.0644	0.19665	0.	-2.9669e+005
155	2.2398	0.36514	0.	6.2721e+006
156	1.3275	0.41734	0.	3.4238e+006
157	2.3362	0.72973	0.	7.7604e+006
158	0.96292	0.63033	0.	5.0489e+006
159	0.10227	1.2086	0.	2.2768e+007
160	0.16567	1.6216	0.	1.5555e+007
161	4.3221	0.75	0.	9.3698e+006
162	1.4844	0.16698	0.	2.0117e+006
163	0.344	1.0375	0.	2.2803e+007
164	0.97908	0.74004	0.	7.7507e+006
165	2.3219	2.4742	0.	1.2287e+007
166	0.6145	1.1957	0.	1.6812e+007
167	2.2942	1.598	0.	1.0799e+007
168	0.98989	0.8726	0.	1.0347e+007
169	1.1557	0.66215	0.	6.3349e+006
170	3.1827	1.1714	0.	9.3664e+006
171	0.76533	1.0196	0.	1.4227e+007
172	1.0783	9.6369e-002	0.	-3.7656e+005
173	2.7385	1.3847	0.	1.0012e+007
174	1.3022	0.11656	0.	5.8776e+005
175	0.29931	1.1408	0.	2.2263e+007
176	0.26447	2.3356	0.	1.1995e+007
177	0.86371	2.6083	0.	1.1726e+007
178	1.7057	1.194	0.	1.0742e+007
179	0.17292	1.0568	0.	2.7895e+007
180	1.16	0.55251	0.	4.5343e+006
181	0.48733	1.2567	0.	1.7945e+007
182	1.5597	0.57115	0.	5.8937e+006
183	0.92103	2.1338	0.	1.2944e+007
184	0.52062	1.003	0.	1.8058e+007
185	0.68452	0.93683	0.	1.381e+007
186	1.3467	1.3745	0.	1.2796e+007
187	0.88689	0.59673	0.	3.0842e+006
188	2.059	0.84154	0.	8.3326e+006
189	1.0952	0.47592	0.	2.7793e+006
190	0.53631	1.775	0.	1.4289e+007
191	6.3664	0.75	0.	9.8782e+006
192	2.3649	1.1109	0.	9.3222e+006
193	1.2322	0.3403	0.	1.8406e+006
194	1.5449	0.94819	0.	9.5825e+006
195	6.4028	2.25	0.	1.0119e+007
196	0.21853	1.2331	0.	2.1081e+007
197	0.18115	1.8196	0.	1.4099e+007
198	0.485	1.4107	0.	1.6568e+007
199	1.232	0.22448	0.	7.5164e+005
200	0.11701	1.3218	0.	1.9806e+007
201	1.0036	1.0267	0.	1.2579e+007
202	9.1457	2.4679	0.	1.0003e+007
203	9.2407	0.5625	0.	9.9959e+006
204	0.18115	2.071	0.	1.2933e+007
205	1.577	2.0713	0.	1.2602e+007
206	0.10063	1.0468	0.	2.9922e+007
207	0.7947	0.74897	0.	7.5461e+006
208	1.7788	0.68265	0.	7.1327e+006
209	0.44256	0.95641	0.	2.0214e+007
210	0.50635	0.92817	0.	1.7724e+007
211	0.34717	1.6947	0.	1.483e+007
212	1.4099	0.63879	0.	6.6539e+006
213	0.40674	2.1335	0.	1.2789e+007
214	0.14672	1.4545	0.	1.7413e+007
215	1.2975	2.6626	0.	1.2178e+007
216	0.86824	1.0914	0.	1.4055e+007
217	1.0499	0.67514	0.	6.5448e+006
218	0.72273	1.2925	0.	1.5783e+007
219	1.5695	1.3583	0.	1.1892e+007
220	1.2559	2.0319	0.	1.301e+007
221	0.34376	1.2448	0.	1.9481e+007
222	1.2043	0.45795	0.	3.2332e+006
223	8.0273	1.3333	0.	1.0004e+007
224	1.4063	0.76405	0.	8.326e+006
225	0.86443	1.2399	0.	1.4877e+007
226	6.7012	1.4856	0.	1.0003e+007
227	0.31898	1.4942	0.	1.6507e+007
228	1.5245	1.5684	0.	1.2544e+007
229	0.70726	0.81597	0.	9.9216e+006
230	0.37379	0.98071	0.	2.2976e+007
231	1.4143	0.51788	0.	4.9296e+006
232	0.50018	1.5764	0.	1.5434e+007
233	0.67164	1.4637	0.	1.5565e+007
234	0.60512	2.0052	0.	1.3315e+007
235	0.38139	2.6478	0.	1.0929e+007
236	1.7165	1.7505	0.	1.2222e+007
237	1.9841	1.5935	0.	1.1515e+007
