Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
143	1,1425	0,91489	0,	-2,4197e-005
144	1,7573	1,4574	0,	-2,5152e-005
145	0,93974	0,54509	0,	-2,5866e-005
146	1,0491	0,29638	0,	-1,264e-005
147	1,0232	0,39066	0,	-1,6849e-005
148	0,52651	1,1058	0,	-5,9094e-005
149	5,0658	2,25	0,	-2,9213e-005
150	2,9447	2,4742	0,	-3,3014e-005
151	3,0581	0,54734	0,	-4,5442e-006
152	1,2123	1,591	0,	-4,2594e-005
153	3,6297	2,3621	0,	-2,9061e-005
154	1,0644	0,19665	0,	-8,4546e-006
155	2,2398	0,36514	0,	-2,5225e-006
156	1,3275	0,41734	0,	-6,9019e-006
157	2,3362	0,72973	0,	-6,2881e-006
158	0,96292	0,63033	0,	-2,5726e-005
159	0,10227	1,2086	0,	-7,3703e-005
160	0,16567	1,6216	0,	-7,7272e-005
161	4,3221	0,75	0,	-7,8754e-006
162	1,4844	0,16698	0,	-1,7464e-006
163	0,344	1,0375	0,	-6,5127e-005
164	0,97908	0,74004	0,	-2,6795e-005
165	2,3219	2,4742	0,	-3,8946e-005
166	0,6145	1,1957	0,	-5,662e-005
167	2,2942	1,598	0,	-2,1483e-005
168	0,98989	0,8726	0,	-2,9366e-005
169	1,1557	0,66215	0,	-1,6821e-005
170	3,1827	1,1714	0,	-1,1504e-005
171	0,76533	1,0196	0,	-4,4845e-005
172	1,0783	9,6369e-002	0,	-4,0844e-006
173	2,7385	1,3847	0,	-1,5063e-005
174	1,3022	0,11656	0,	-2,0417e-006
175	0,29931	1,1408	0,	-6,8539e-005
176	0,26447	2,3356	0,	-8,384e-005
177	0,86371	2,6083	0,	-7,6049e-005
178	1,7057	1,194	0,	-1,9201e-005
179	0,17292	1,0568	0,	-6,9132e-005
180	1,16	0,55251	0,	-1,4225e-005
181	0,48733	1,2567	0,	-6,3634e-005
182	1,5597	0,57115	0,	-6,6905e-006
183	0,92103	2,1338	0,	-6,5395e-005
184	0,52062	1,003	0,	-5,7686e-005
185	0,68452	0,93683	0,	-4,7827e-005
186	1,3467	1,3745	0,	-3,2033e-005
187	0,88689	0,59673	0,	-3,0749e-005
188	2,059	0,84154	0,	-8,4823e-006
189	1,0952	0,47592	0,	-1,5052e-005
190	0,53631	1,775	0,	-7,0443e-005
191	6,3664	0,75	0,	-1,0136e-005
192	2,3649	1,1109	0,	-1,1844e-005
193	1,2322	0,3403	0,	-7,3435e-006
194	1,5449	0,94819	0,	-1,5237e-005
195	6,4028	2,25	0,	-3,162e-005
196	0,21853	1,2331	0,	-7,2239e-005
197	0,18115	1,8196	0,	-7,8795e-005
198	0,485	1,4107	0,	-6,6386e-005
199	1,232	0,22448	0,	-4,951e-006
200	0,11701	1,3218	0,	-7,514e-005
201	1,0036	1,0267	0,	-3,306e-005
202	9,1457	2,4679	0,	-3,6813e-005
203	9,2407	0,5625	0,	-8,3645e-006
204	0,18115	2,071	0,	-8,1351e-005
205	1,577	2,0713	0,	-4,4749e-005
206	0,10063	1,0468	0,	-6,9512e-005
207	0,7947	0,74897	0,	-3,8821e-005
208	1,7788	0,68265	0,	-7,1429e-006
209	0,44256	0,95641	0,	-6,0554e-005
210	0,50635	0,92817	0,	-5,7539e-005
211	0,34717	1,6947	0,	-7,455e-005
212	1,4099	0,63879	0,	-9,7716e-006
213	0,40674	2,1335	0,	-7,8767e-005
214	0,14672	1,4545	0,	-7,6094e-005
215	1,2975	2,6626	0,	-6,4933e-005
216	0,86824	1,0914	0,	-4,1332e-005
217	1,0499	0,67514	0,	-2,1719e-005
218	0,72273	1,2925	0,	-5,3701e-005
219	1,5695	1,3583	0,	-2,6135e-005
220	1,2559	2,0319	0,	-5,28e-005
221	0,34376	1,2448	0,	-6,8949e-005
222	1,2043	0,45795	0,	-1,0607e-005
223	8,0273	1,3333	0,	-1,9488e-005
224	1,4063	0,76405	0,	-1,2919e-005
225	0,86443	1,2399	0,	-4,5687e-005
226	6,7012	1,4856	0,	-2,0783e-005
227	0,31898	1,4942	0,	-7,3033e-005
228	1,5245	1,5684	0,	-3,3036e-005
229	0,70726	0,81597	0,	-4,5291e-005
230	0,37379	0,98071	0,	-6,3269e-005
231	1,4143	0,51788	0,	-7,3483e-006
232	0,50018	1,5764	0,	-6,8536e-005
233	0,67164	1,4637	0,	-5,9939e-005
234	0,60512	2,0052	0,	-7,2151e-005
235	0,38139	2,6478	0,	-8,7026e-005
236	1,7165	1,7505	0,	-3,3667e-005
237	1,9841	1,5935	0,	-2,5084e-005
